,datum,3A415DR01_Temp2,1N315KM01TIT001,1Q325TB03TT151,1L315KM01TT001,3A415DR01_Temp6,1L635KM05TT001,1L635KM05TT002,3A415DR01_Temp5,1N625SW02TT001,3A415DR01_Temp3,3A415DR01_Temp1,3H325WT01TT001,1N305KM01TIT001,3A415DR01_Temp4,1N625SW03TT001,T-WRK-Schiphol_STUW12,1N315KM02TIT003,1D325TA01TT001
0,01-01-2015 00:00:00,0.0,5.963,6.145,8.221,0.0,8.72,8.976,0.0,5.251,0.0,0.0,7.804,5.127,0.0,5.044,5.71,0.0,0.0
1,02-01-2015 00:00:00,0.0,5.904,6.035,8.393,0.0,8.465,8.776,0.0,5.276,0.0,0.0,8.087,4.934,0.0,5.07,5.502,0.0,0.0
2,03-01-2015 00:00:00,0.0,5.814,5.842,8.343,0.0,8.152,8.403,0.0,4.99,0.0,0.0,8.294,4.794,0.0,4.839,5.442,0.0,0.0
3,04-01-2015 00:00:00,0.0,5.612,5.6,8.147,0.0,8.139,8.388,0.0,4.769,0.0,0.0,8.37,4.586,0.0,4.573,5.14,0.0,0.0
4,05-01-2015 00:00:00,0.0,5.463,5.447,8.137,0.0,8.317,8.505,0.0,4.581,0.0,0.0,8.204,4.357,0.0,4.402,5.079,0.0,0.0
5,06-01-2015 00:00:00,0.0,5.656,5.514,8.094,0.0,8.443,8.596,0.0,7.302,0.0,0.0,8.074,3.748,0.0,6.73,5.133,0.0,0.0
6,07-01-2015 00:00:00,0.0,6.168,5.837,8.131,0.0,8.505,8.885,0.0,12.821,0.0,0.0,8.178,6.046,0.0,12.198,6.029,0.0,0.0
7,08-01-2015 00:00:00,0.0,6.168,10.3,8.095,0.0,7.983,8.407,0.0,12.829,0.0,0.0,8.273,10.124,0.0,11.595,7.554,0.0,0.0
8,09-01-2015 00:00:00,0.0,6.168,11.326,7.892,0.0,7.806,8.252,0.0,12.863,0.0,0.0,8.396,10.703,0.0,12.142,8.856,0.0,0.0
9,10-01-2015 00:00:00,0.0,6.168,11.625,7.927,0.0,8.361,8.841,0.0,9.173,0.0,0.0,8.503,7.349,0.0,9.029,9.229,0.0,0.0
10,11-01-2015 00:00:00,0.0,6.266,9.709,8.211,0.0,8.087,8.487,0.0,5.627,0.0,0.0,8.181,5.621,0.0,5.441,8.742,0.0,0.0
11,12-01-2015 00:00:00,0.0,8.246,7.147,7.997,0.0,7.547,8.002,0.0,6.087,0.0,0.0,8.308,5.804,0.0,5.901,6.846,0.0,0.0
12,13-01-2015 00:00:00,0.0,8.244,7.152,7.86,0.0,8.218,8.702,0.0,6.647,0.0,0.0,8.327,6.101,0.0,6.326,6.694,0.0,0.0
13,14-01-2015 00:00:00,0.0,8.244,6.969,8.233,0.0,8.437,8.857,0.0,6.753,0.0,0.0,7.93,6.177,0.0,6.011,6.135,0.0,0.0
14,15-01-2015 00:00:00,0.0,8.244,6.802,8.169,0.0,7.891,8.371,0.0,6.583,0.0,0.0,7.989,6.139,0.0,6.179,6.365,0.0,0.0
15,16-01-2015 00:00:00,0.0,7.48,6.846,7.944,0.0,7.752,8.212,0.0,6.323,0.0,0.0,8.13,6.12,0.0,5.972,6.213,0.0,0.0
16,17-01-2015 00:00:00,0.0,6.585,6.649,7.845,0.0,7.799,8.214,0.0,6.091,0.0,0.0,7.934,6.035,0.0,5.887,6.119,0.0,0.0
17,18-01-2015 00:00:00,0.0,6.31,6.549,7.695,0.0,7.679,8.096,0.0,5.986,0.0,0.0,7.752,5.839,0.0,5.751,6.115,0.0,0.0
18,19-01-2015 00:00:00,0.0,6.275,6.431,7.557,0.0,7.733,8.126,0.0,5.998,0.0,0.0,7.597,5.838,0.0,5.757,5.896,0.0,0.0
19,20-01-2015 00:00:00,0.0,6.248,6.433,7.548,0.0,7.916,8.3,0.0,5.943,0.0,0.0,7.436,5.82,0.0,5.751,5.871,0.0,0.0
20,21-01-2015 00:00:00,0.0,6.066,6.349,7.542,0.0,7.83,8.153,0.0,5.686,0.0,0.0,7.233,5.619,0.0,5.509,5.7,0.0,0.0
21,22-01-2015 00:00:00,0.0,5.67,6.174,7.369,0.0,7.627,7.937,0.0,5.287,0.0,0.0,7.013,5.251,0.0,5.07,5.425,0.0,0.0
22,23-01-2015 00:00:00,0.0,5.428,5.825,7.126,0.0,7.296,7.443,0.0,4.944,0.0,0.0,6.886,4.849,0.0,4.769,5.073,0.0,0.0
23,24-01-2015 00:00:00,0.0,5.13,5.623,6.807,0.0,6.843,7.332,0.0,4.719,0.0,0.0,6.901,4.565,0.0,4.524,5.021,0.0,0.0
24,25-01-2015 00:00:00,0.0,5.001,5.344,6.753,0.0,7.278,7.791,0.0,4.703,0.0,0.0,7.088,4.478,0.0,4.514,4.996,0.0,0.0
25,26-01-2015 00:00:00,0.0,4.996,5.542,7.133,0.0,8.223,8.774,0.0,4.906,0.0,0.0,7.106,4.591,0.0,4.715,5.002,0.0,0.0
26,27-01-2015 00:00:00,0.0,4.955,5.563,7.679,0.0,8.521,9.107,0.0,4.908,0.0,0.0,7.093,4.695,0.0,4.715,4.963,0.0,0.0
27,28-01-2015 00:00:00,0.0,5.12,5.574,7.862,0.0,8.631,9.225,0.0,4.991,0.0,0.0,7.34,4.78,0.0,4.834,4.898,0.0,0.0
28,29-01-2015 00:00:00,0.0,5.145,5.439,7.947,0.0,8.147,8.68,0.0,4.797,0.0,0.0,7.494,4.639,0.0,4.596,4.792,0.0,0.0
29,30-01-2015 00:00:00,0.0,5.093,5.32,7.493,0.0,7.179,7.699,0.0,4.737,0.0,0.0,7.515,4.571,0.0,4.533,4.742,0.0,0.0
30,31-01-2015 00:00:00,0.0,4.867,5.243,7.062,0.0,7.437,7.925,0.0,4.582,0.0,0.0,7.564,4.369,0.0,4.402,4.74,0.0,0.0
31,01-02-2015 00:00:00,0.0,4.836,5.093,7.135,0.0,7.6,8.089,0.0,4.495,0.0,0.0,7.414,4.243,0.0,4.311,4.692,0.0,0.0
32,02-02-2015 00:00:00,0.0,4.787,5.028,7.208,0.0,7.738,8.204,0.0,4.402,0.0,0.0,7.139,4.237,0.0,4.212,4.481,0.0,0.0
33,03-02-2015 00:00:00,0.0,4.725,4.927,7.221,0.0,7.531,8.02,0.0,4.399,0.0,0.0,7.073,4.28,0.0,4.246,4.417,0.0,0.0
34,04-02-2015 00:00:00,0.0,4.707,4.962,7.059,0.0,7.488,7.947,0.0,4.511,0.0,0.0,7.117,4.289,0.0,4.323,4.329,0.0,0.0
35,05-02-2015 00:00:00,0.0,4.567,4.964,6.953,0.0,7.345,7.772,0.0,4.331,0.0,0.0,7.088,4.224,0.0,4.142,4.21,0.0,0.0
36,06-02-2015 00:00:00,0.0,4.275,4.825,6.761,0.0,6.925,7.388,0.0,3.988,0.0,0.0,6.875,3.926,0.0,3.804,4.031,0.0,4.849
37,07-02-2015 00:00:00,0.0,4.188,4.516,6.465,0.0,6.482,6.97,0.0,3.932,0.0,0.0,6.904,3.692,0.0,3.749,4.077,0.0,4.664
38,08-02-2015 00:00:00,0.0,4.231,4.627,6.348,0.0,6.955,7.473,0.0,4.064,0.0,0.0,6.879,3.711,0.0,3.886,4.044,0.0,4.668
39,09-02-2015 00:00:00,0.0,4.245,4.655,6.698,0.0,7.452,7.984,0.0,4.151,0.0,0.0,6.713,3.771,0.0,3.932,4.213,0.0,4.767
40,10-02-2015 00:00:00,0.0,4.305,4.677,7.057,0.0,7.83,8.361,0.0,4.223,0.0,0.0,6.741,3.867,0.0,4.014,4.208,0.0,4.809
41,11-02-2015 00:00:00,0.0,4.588,4.835,7.343,0.0,8.056,8.523,0.0,4.321,0.0,0.0,6.888,3.986,0.0,4.133,4.25,0.0,4.896
42,12-02-2015 00:00:00,0.0,4.728,4.865,7.506,0.0,8.14,8.613,0.0,4.373,0.0,0.0,7.069,4.108,0.0,4.194,4.3,0.0,4.947
43,13-02-2015 00:00:00,0.0,4.76,4.975,7.589,0.0,8.166,8.654,0.0,4.448,0.0,0.0,7.253,4.162,0.0,4.255,4.352,0.0,5.006
44,14-02-2015 00:00:00,0.0,4.846,5.081,7.694,0.0,8.192,8.742,0.0,4.601,0.0,0.0,7.558,4.282,0.0,4.417,4.442,0.0,5.081
45,15-02-2015 00:00:00,0.0,4.901,5.241,7.829,0.0,8.402,8.888,0.0,4.635,0.0,0.0,7.581,4.337,0.0,4.476,4.396,0.0,5.179
46,16-02-2015 00:00:00,0.0,4.898,5.095,7.807,0.0,8.014,8.47,0.0,4.5,0.0,0.0,7.563,4.254,0.0,4.313,4.39,0.0,5.193
47,17-02-2015 00:00:00,0.0,4.927,0.0,7.518,0.0,8.064,8.553,0.0,4.642,0.0,0.0,7.77,4.309,0.0,4.468,4.54,0.0,5.206
48,18-02-2015 00:00:00,0.0,4.894,0.0,7.578,0.0,8.296,8.754,0.0,4.628,0.0,0.0,7.681,4.359,0.0,4.432,4.448,0.0,5.224
49,19-02-2015 00:00:00,0.0,4.907,0.0,7.707,0.0,8.205,8.671,0.0,4.672,0.0,0.0,7.498,4.417,0.0,4.482,4.49,0.0,5.206
50,20-02-2015 00:00:00,0.0,4.952,0.0,7.653,0.0,8.162,8.866,0.0,4.758,0.0,0.0,7.523,4.49,0.0,4.563,4.594,0.0,5.284
51,21-02-2015 00:00:00,0.0,5.158,0.0,7.674,0.0,8.333,8.982,0.0,4.923,0.0,0.0,7.594,4.658,0.0,4.737,4.617,0.0,5.36
52,22-02-2015 00:00:00,0.0,5.155,0.0,7.78,0.0,8.367,8.942,0.0,4.911,0.0,0.0,7.572,4.636,0.0,4.706,4.723,0.0,5.452
53,23-02-2015 00:00:00,0.0,5.251,0.0,7.779,0.0,8.394,9.015,0.0,4.878,0.0,0.0,7.767,4.628,0.0,4.688,4.825,0.0,5.52
54,24-02-2015 00:00:00,0.0,5.292,5.379,7.861,0.0,8.397,9.006,0.0,5.016,0.0,0.0,7.845,4.744,0.0,4.821,5.123,0.0,5.565
55,25-02-2015 00:00:00,0.0,5.348,5.371,7.883,0.0,8.205,8.791,0.0,5.088,0.0,0.0,7.861,4.81,0.0,4.89,5.114,0.0,5.574
56,26-02-2015 00:00:00,0.0,5.599,5.584,7.755,0.0,8.232,8.78,0.0,5.325,0.0,0.0,7.913,4.917,0.0,5.141,5.019,0.0,5.664
57,27-02-2015 00:00:00,0.0,5.795,5.891,7.836,0.0,8.529,9.094,0.0,5.51,0.0,0.0,7.924,5.203,0.0,5.305,5.119,0.0,5.851
58,28-02-2015 00:00:00,0.0,5.779,5.988,8.007,0.0,8.461,8.962,0.0,5.53,0.0,0.0,7.757,5.294,0.0,5.334,5.283,0.0,5.988
59,01-03-2015 00:00:00,0.0,6.204,6.356,8.042,0.0,8.608,9.144,0.0,5.94,0.0,0.0,8.021,5.622,0.0,5.756,5.573,0.0,6.098
60,02-03-2015 00:00:00,0.0,6.305,6.194,8.29,0.0,8.74,9.22,0.0,6.027,0.0,0.0,8.028,5.935,0.0,5.846,5.36,0.0,6.336
61,03-03-2015 00:00:00,0.0,6.274,6.267,8.151,0.0,7.989,8.497,0.0,6.092,0.0,0.0,7.89,6.007,0.0,5.893,5.521,0.0,6.473
62,04-03-2015 00:00:00,0.0,6.262,6.286,7.64,0.0,7.526,8.061,0.0,6.052,0.0,0.0,7.904,5.867,0.0,5.87,5.64,0.0,6.515
63,05-03-2015 00:00:00,0.0,6.299,6.307,7.458,0.0,7.671,8.206,0.0,6.097,0.0,0.0,7.883,5.816,0.0,5.923,5.856,0.0,6.554
64,06-03-2015 00:00:00,0.0,6.346,6.395,7.699,0.0,8.449,8.991,0.0,6.157,0.0,0.0,7.814,5.925,0.0,5.993,5.919,0.0,6.6
65,07-03-2015 00:00:00,0.0,6.538,6.447,8.201,0.0,8.916,9.422,0.0,6.342,0.0,0.0,7.771,6.077,0.0,6.158,6.021,0.0,6.661
66,08-03-2015 00:00:00,0.0,7.026,6.677,8.557,0.0,9.124,9.673,0.0,6.765,0.0,0.0,8.109,6.445,0.0,6.637,6.2,0.0,6.835
67,09-03-2015 00:00:00,0.0,7.517,7.064,8.808,0.0,9.574,10.066,0.0,7.163,0.0,0.0,8.384,6.922,0.0,7.072,6.438,0.0,7.18
68,10-03-2015 00:00:00,0.0,7.944,7.612,9.209,0.0,10.099,10.611,0.0,7.522,0.0,0.0,8.666,7.288,0.0,7.504,6.848,0.0,7.581
69,11-03-2015 00:00:00,0.0,7.96,7.59,9.51,0.0,10.093,10.563,0.0,7.537,0.0,0.0,8.74,7.422,0.0,7.506,6.985,0.0,7.867
70,12-03-2015 00:00:00,0.0,8.097,7.866,9.463,0.0,9.735,10.157,0.0,7.527,0.0,0.0,9.126,7.486,0.0,7.492,7.129,0.0,7.996
71,13-03-2015 00:00:00,0.0,8.172,7.772,9.335,0.0,9.789,10.174,0.0,7.614,0.0,0.0,9.214,7.521,0.0,7.601,7.215,0.0,8.106
72,14-03-2015 00:00:00,0.0,7.828,7.753,9.265,0.0,9.618,9.875,0.0,7.306,0.0,0.0,8.942,7.337,0.0,7.262,7.058,0.0,8.013
73,15-03-2015 00:00:00,0.0,7.662,7.595,8.979,0.0,9.122,9.439,0.0,7.243,0.0,0.0,8.951,7.17,0.0,7.187,7.071,0.0,7.823
74,16-03-2015 00:00:00,0.0,7.755,7.529,8.737,0.0,9.132,9.492,0.0,7.378,0.0,0.0,9.022,7.195,0.0,7.322,7.183,0.0,7.819
75,17-03-2015 00:00:00,0.0,8.053,7.705,8.932,0.0,9.732,10.136,0.0,7.593,0.0,0.0,9.095,7.361,0.0,7.563,7.242,0.0,7.983
76,18-03-2015 00:00:00,0.0,8.204,7.975,9.349,0.0,10.032,10.38,0.0,7.713,0.0,0.0,9.051,7.582,0.0,7.692,7.183,0.0,8.114
77,19-03-2015 00:00:00,0.0,8.384,8.33,9.452,0.0,9.915,10.323,0.0,7.92,0.0,0.0,9.155,7.804,0.0,7.91,7.575,0.0,8.259
78,20-03-2015 00:00:00,0.0,8.441,8.322,9.526,0.0,10.018,10.381,0.0,7.969,0.0,0.0,9.297,7.911,0.0,7.962,7.513,0.0,8.359
79,21-03-2015 00:00:00,0.0,8.563,8.215,9.527,0.0,9.873,10.274,0.0,8.098,0.0,0.0,9.278,8.067,0.0,8.131,7.719,0.0,8.47
80,22-03-2015 00:00:00,0.0,8.685,8.512,9.496,0.0,9.862,10.225,0.0,8.203,0.0,0.0,9.275,8.144,0.0,8.232,7.756,0.0,8.59
81,23-03-2015 00:00:00,0.0,8.694,8.333,9.476,0.0,9.602,9.968,0.0,8.263,0.0,0.0,9.243,8.211,0.0,8.299,7.656,0.0,8.644
82,24-03-2015 00:00:00,0.0,8.813,8.45,9.287,0.0,9.2,9.622,0.0,8.435,0.0,0.0,9.324,8.377,0.0,8.481,8.002,0.0,8.698
83,25-03-2015 00:00:00,0.0,8.748,8.628,9.155,0.0,9.603,10.047,0.0,8.349,0.0,0.0,9.359,8.354,0.0,8.415,7.852,0.0,8.792
84,26-03-2015 00:00:00,0.0,8.548,8.536,9.393,0.0,9.713,10.084,0.0,8.218,0.0,0.0,9.126,8.274,0.0,8.232,7.829,0.0,8.848
85,27-03-2015 00:00:00,0.0,8.521,8.421,9.305,0.0,9.299,9.738,0.0,8.183,0.0,0.0,9.174,8.198,0.0,8.219,7.894,0.0,8.787
86,28-03-2015 00:00:00,0.0,8.343,8.379,9.141,0.0,9.134,9.558,0.0,8.071,0.0,0.0,9.278,8.03,0.0,8.081,7.725,0.0,8.667
87,29-03-2015 00:00:00,0.0,8.617,8.468,9.085,0.0,9.309,9.785,0.0,8.301,0.0,0.0,9.416,8.19,0.0,8.345,7.628,0.0,8.674
88,30-03-2015 00:00:00,0.0,8.482,8.675,9.192,0.0,9.178,9.618,0.0,8.137,0.0,0.0,9.219,8.152,0.0,8.162,7.898,0.0,8.766
89,31-03-2015 00:00:00,0.0,8.727,9.447,9.192,0.0,9.466,9.97,0.0,8.368,0.0,0.0,9.234,8.226,0.0,8.412,7.842,0.0,9.582
90,01-04-2015 00:00:00,0.0,8.353,9.019,9.367,0.0,9.473,9.897,0.0,8.06,0.0,0.0,9.087,8.151,0.0,8.074,7.721,0.0,8.297
91,02-04-2015 00:00:00,0.0,8.548,8.757,9.232,0.0,9.287,9.751,0.0,8.236,0.0,0.0,9.155,8.11,0.0,8.268,8.023,0.0,8.875
92,03-04-2015 00:00:00,0.0,8.664,8.847,9.353,0.0,9.807,10.283,0.0,8.331,0.0,0.0,9.272,8.207,0.0,8.376,6.882,0.0,8.723
93,04-04-2015 00:00:00,0.0,8.805,8.846,9.787,0.0,10.247,10.654,0.0,8.449,0.0,0.0,9.218,8.502,0.0,8.495,0.0,0.0,8.762
94,05-04-2015 00:00:00,0.0,9.175,9.133,9.939,0.0,10.077,10.417,0.0,8.86,0.0,0.0,9.226,8.831,0.0,8.928,0.0,0.0,8.906
95,06-04-2015 00:00:00,0.0,9.435,9.333,9.895,0.0,10.101,10.54,0.0,9.082,0.0,0.0,9.506,9.069,0.0,9.165,0.0,0.0,9.093
96,07-04-2015 00:00:00,0.0,9.835,9.279,9.964,0.0,10.328,10.739,0.0,9.454,0.0,0.0,9.749,9.315,0.0,9.573,0.0,0.0,9.427
97,08-04-2015 00:00:00,0.0,10.157,9.669,10.213,0.0,10.583,10.992,0.0,9.78,0.0,0.0,9.934,9.658,0.0,9.896,0.0,0.0,9.725
98,09-04-2015 00:00:00,0.0,10.547,10.211,10.603,0.0,11.216,11.585,0.0,10.158,0.0,0.0,10.211,9.948,0.0,10.239,0.0,0.0,10.08
99,10-04-2015 00:00:00,0.0,10.959,10.526,11.162,0.0,11.871,12.287,0.0,10.487,0.0,0.0,10.536,10.224,0.0,10.54,0.0,0.0,10.48
100,11-04-2015 00:00:00,0.0,10.904,10.591,11.625,0.0,12.003,12.416,0.0,10.384,0.0,0.0,10.914,10.394,0.0,10.48,0.0,0.0,10.65
101,12-04-2015 00:00:00,0.0,10.992,10.572,11.609,0.0,11.408,11.787,0.0,10.543,0.0,0.0,11.054,10.415,0.0,10.6,0.0,0.0,10.793
102,13-04-2015 00:00:00,0.0,11.176,11.087,11.385,0.0,11.558,11.99,0.0,10.791,0.0,0.0,11.405,10.677,0.0,10.843,0.0,0.0,10.871
103,14-04-2015 00:00:00,0.0,11.637,11.473,11.603,0.0,11.895,12.299,0.0,11.255,0.0,0.0,11.494,10.988,0.0,11.269,0.0,0.0,11.139
104,15-04-2015 00:00:00,0.0,12.285,12.068,11.924,0.0,12.575,13.012,0.0,11.886,0.0,0.0,11.796,11.581,0.0,11.867,0.0,0.0,11.518
105,16-04-2015 00:00:00,0.0,12.696,11.984,12.414,0.0,12.923,13.384,0.0,12.327,0.0,0.0,11.918,12.126,0.0,12.286,0.0,0.0,11.945
106,17-04-2015 00:00:00,0.0,12.811,12.17,12.511,0.0,12.354,12.829,0.0,12.404,0.0,0.0,12.033,12.406,0.0,12.361,0.0,0.0,12.287
107,18-04-2015 00:00:00,0.0,13.011,12.492,12.199,0.0,11.802,12.252,0.0,12.52,0.0,0.0,12.213,12.504,0.0,12.485,0.0,0.0,12.58
108,19-04-2015 00:00:00,0.0,13.415,12.694,12.095,0.0,11.935,12.373,0.0,12.785,0.0,0.0,12.219,12.66,0.0,12.701,0.0,0.0,12.789
109,20-04-2015 00:00:00,0.0,13.837,12.65,12.109,0.0,12.082,12.515,0.0,13.224,0.0,0.0,12.216,12.901,0.0,13.249,0.0,0.0,13.14
110,21-04-2015 00:00:00,0.0,13.959,12.72,12.366,0.0,12.77,13.129,0.0,13.461,0.0,0.0,12.278,13.241,0.0,13.673,0.0,0.0,13.595
111,22-04-2015 00:00:00,0.0,13.786,12.505,12.699,0.0,12.584,12.924,0.0,13.228,0.0,0.0,12.4,13.255,0.0,13.208,0.0,0.0,13.569
112,23-04-2015 00:00:00,0.0,14.031,13.044,12.412,0.0,11.982,12.368,0.0,13.538,0.0,0.0,12.504,13.349,0.0,13.506,0.0,0.0,13.64
113,24-04-2015 00:00:00,0.0,14.327,12.685,12.318,0.0,12.445,12.843,0.0,13.924,0.0,0.0,12.6,13.713,0.0,13.888,0.0,0.0,13.713
114,25-04-2015 00:00:00,0.0,14.428,13.728,12.676,0.0,12.965,13.352,0.0,14.024,0.0,0.0,12.618,13.978,0.0,13.99,0.0,0.0,13.932
115,26-04-2015 00:00:00,0.0,14.407,13.71,12.839,0.0,12.554,12.975,0.0,14.086,0.0,0.0,12.602,14.063,0.0,14.056,0.0,0.0,14.0
116,27-04-2015 00:00:00,0.0,14.271,14.072,12.516,0.0,12.002,12.38,0.0,14.043,0.0,0.0,12.578,13.982,0.0,14.019,0.0,0.0,14.051
117,28-04-2015 00:00:00,0.0,14.022,13.994,12.307,0.0,12.149,12.472,0.0,13.774,0.0,0.0,12.473,13.789,0.0,13.747,0.0,0.0,14.101
118,29-04-2015 00:00:00,0.0,13.911,13.585,12.368,0.0,11.908,12.276,0.0,13.225,0.0,0.0,12.298,13.639,0.0,12.159,0.0,0.0,13.935
119,30-04-2015 00:00:00,0.0,14.111,13.753,12.167,0.0,11.628,11.999,0.0,13.791,0.0,0.0,12.284,13.585,0.0,13.745,0.0,0.0,13.955
120,01-05-2015 00:00:00,0.0,14.25,14.039,12.23,0.0,12.28,12.656,0.0,14.132,0.0,0.0,12.213,13.655,0.0,14.08,0.0,0.0,14.097
121,02-05-2015 00:00:00,0.0,14.451,14.309,12.601,0.0,12.643,12.994,0.0,13.974,0.0,0.0,12.203,13.757,0.0,13.937,0.0,0.0,14.221
122,03-05-2015 00:00:00,0.0,14.473,14.181,12.932,0.0,12.746,13.105,0.0,13.883,0.0,0.0,12.442,13.82,0.0,13.852,0.0,0.0,14.297
123,04-05-2015 00:00:00,0.0,14.8,14.832,12.91,0.0,12.702,13.076,0.0,14.312,0.0,0.0,12.878,14.027,0.0,14.279,0.0,0.0,14.471
124,05-05-2015 00:00:00,0.0,15.239,15.172,13.257,0.0,13.823,14.225,0.0,14.879,0.0,0.0,13.267,14.63,0.0,14.819,0.0,0.0,14.649
125,06-05-2015 00:00:00,0.0,15.084,14.328,13.861,0.0,13.916,14.323,0.0,14.825,0.0,0.0,13.296,14.85,0.0,14.771,0.0,0.0,14.69
126,07-05-2015 00:00:00,0.0,15.167,15.017,13.706,0.0,13.338,13.725,0.0,14.927,0.0,0.0,13.571,14.93,0.0,14.881,0.0,0.0,14.97
127,08-05-2015 00:00:00,0.0,15.559,15.429,13.708,0.0,13.613,13.959,0.0,15.442,0.0,0.0,13.821,15.183,0.0,15.36,0.0,0.0,15.081
128,09-05-2015 00:00:00,0.0,15.654,15.669,14.018,0.0,14.033,14.385,0.0,15.431,0.0,0.0,13.924,15.312,0.0,15.346,0.0,0.0,15.353
129,10-05-2015 00:00:00,0.0,15.847,15.843,14.204,0.0,13.914,14.257,0.0,15.72,0.0,0.0,13.967,15.408,0.0,15.655,0.0,0.0,15.515
130,11-05-2015 00:00:00,0.0,16.432,16.413,14.337,0.0,14.335,14.716,0.0,16.301,0.0,0.0,14.365,15.841,0.0,16.088,0.0,0.0,15.726
131,12-05-2015 00:00:00,0.0,16.104,16.419,14.91,0.0,15.074,15.402,0.0,15.476,0.0,0.0,14.579,16.325,0.0,16.092,0.0,0.0,16.14
132,13-05-2015 00:00:00,0.0,14.696,16.199,15.181,0.0,14.845,15.156,0.0,13.737,0.0,0.0,14.719,16.535,0.0,15.881,0.0,0.0,15.964
133,14-05-2015 00:00:00,0.0,15.565,15.929,15.182,0.0,14.757,15.079,0.0,15.761,0.0,0.0,14.857,16.639,0.0,16.589,0.0,0.0,14.646
134,15-05-2015 00:00:00,0.0,15.567,16.243,15.03,0.0,14.265,14.576,0.0,16.079,0.0,0.0,14.755,16.57,0.0,16.426,0.0,0.0,14.731
135,16-05-2015 00:00:00,0.0,15.553,16.119,14.698,0.0,13.706,14.023,0.0,15.96,0.0,0.0,14.662,16.438,0.0,16.074,0.0,0.0,14.843
136,17-05-2015 00:00:00,0.0,16.411,16.24,14.289,0.0,13.47,13.792,0.0,16.719,0.0,0.0,14.65,16.489,0.0,16.524,0.0,0.0,15.126
137,18-05-2015 00:00:00,0.0,16.153,15.938,14.315,0.0,13.658,14.01,0.0,16.344,0.0,0.0,14.327,16.381,0.0,16.114,0.0,0.0,15.415
138,19-05-2015 00:00:00,0.0,16.084,16.026,14.16,0.0,12.976,13.383,0.0,16.119,0.0,0.0,14.739,16.027,0.0,15.903,0.0,0.0,16.003
139,20-05-2015 00:00:00,0.0,15.991,15.478,13.929,0.0,13.326,13.704,0.0,15.896,0.0,0.0,14.025,15.749,0.0,15.684,0.0,0.0,15.904
140,21-05-2015 00:00:00,0.0,16.201,15.789,14.194,0.0,13.807,14.171,0.0,16.144,0.0,0.0,13.928,15.842,0.0,15.941,0.0,0.0,15.768
141,22-05-2015 00:00:00,0.0,16.655,16.183,14.686,0.0,14.62,14.978,0.0,16.546,0.0,0.0,14.152,16.255,0.0,16.351,0.0,0.0,16.095
142,23-05-2015 00:00:00,0.0,17.096,16.405,15.204,0.0,15.011,15.339,0.0,16.923,0.0,0.0,14.397,16.763,0.0,16.746,0.0,0.0,16.626
143,24-05-2015 00:00:00,0.0,17.405,16.743,15.315,0.0,14.659,14.984,0.0,17.252,0.0,0.0,14.601,16.929,0.0,17.073,0.0,0.0,16.92
144,25-05-2015 00:00:00,0.0,17.775,17.019,15.253,0.0,14.799,15.128,0.0,17.539,0.0,0.0,14.938,17.384,0.0,17.385,0.0,0.0,17.291
145,26-05-2015 00:00:00,0.0,17.702,17.629,15.266,0.0,14.638,14.957,0.0,17.507,0.0,0.0,14.975,17.426,0.0,17.347,0.0,0.0,17.582
146,27-05-2015 00:00:00,0.0,17.873,17.416,15.264,0.0,14.824,15.18,0.0,17.627,0.0,0.0,15.119,17.423,0.0,17.472,0.0,0.0,17.554
147,28-05-2015 00:00:00,0.0,17.795,17.464,15.68,0.0,15.166,15.548,0.0,17.508,0.0,0.0,15.2,17.376,0.0,17.349,0.0,0.0,17.648
148,29-05-2015 00:00:00,0.0,17.394,17.171,15.723,0.0,14.624,15.007,0.0,17.136,0.0,0.0,15.15,17.056,0.0,16.971,0.0,0.0,17.41
149,30-05-2015 00:00:00,0.0,17.107,16.961,15.124,0.0,13.608,14.017,0.0,16.939,0.0,0.0,15.072,16.712,0.0,16.751,0.0,0.0,17.247
150,31-05-2015 00:00:00,0.0,16.786,16.706,14.738,0.0,13.599,14.013,0.0,16.568,0.0,0.0,15.009,16.436,0.0,16.369,0.0,0.0,16.921
151,01-06-2015 00:00:00,0.0,16.78,16.916,14.538,0.0,13.378,13.811,0.0,16.598,0.0,0.0,14.756,16.273,0.0,16.403,0.0,0.0,16.784
152,02-06-2015 00:00:00,0.0,16.232,16.456,14.613,0.0,13.697,14.095,0.0,16.003,0.0,0.0,14.508,15.906,0.0,15.786,0.0,0.0,16.573
153,03-06-2015 00:00:00,0.0,16.403,16.707,14.436,0.0,13.698,14.081,0.0,16.193,0.0,0.0,14.536,15.871,0.0,15.977,0.0,0.0,16.392
154,04-06-2015 00:00:00,0.0,16.928,16.441,14.845,0.0,14.959,15.352,0.0,16.689,0.0,0.0,14.544,16.204,0.0,16.503,0.0,0.0,16.466
155,05-06-2015 00:00:00,0.0,17.796,17.117,15.68,0.0,15.987,16.371,0.0,17.465,0.0,0.0,15.109,16.904,0.0,17.305,0.0,0.0,17.023
156,06-06-2015 00:00:00,0.0,18.424,17.57,16.402,0.0,16.595,16.932,0.0,18.075,0.0,0.0,15.677,17.684,0.0,17.934,0.0,0.0,17.705
157,07-06-2015 00:00:00,0.0,18.712,17.919,16.646,0.0,16.406,16.72,0.0,18.394,0.0,0.0,16.016,18.131,0.0,18.255,0.0,0.0,18.129
